Brand,Ram,Rom,Extended_Memory,Battery_capacity(mAh),Processor,Price
Kechaoda,,0.032,,800,,20990
realme,4,64,256,5000,Qualcomm Snapdragon 665 Processor,32999
realme,3,32,256,5000,Qualcomm Snapdragon 665 Processor,32999
realme,3,32,256,5000,Qualcomm Snapdragon 665 Processor,1470
OPPO,6,128,256,5000,,6799
realme,8,128,,4500,MediaTek Dimensity 1000 Plus Processor,1749
realme,8,128,,4500,MediaTek Dimensity 1000 Plus Processor,1749
Jivi,,0.032,,1000,NA Processor,31999
BlackZone,,0.032,,1000,,34999
GIONEE,3,32,256,5000,,52900
GFive,,,,,,679
GFive,,0.032,,1000,,17999
Nokia,4,64,512,4000,,724
TYMES,,0.064,,5000,,47900
realme,6,64,256,4300,,38990
KARBONN,,0.032,32,1750,,38990
Heemax,,0.032,,2500,,1215
Micromax,,0.032,,1750,,10990
I,,0.064,,2500,,829
Apple,,,,,,18999
OPPO,8,128,,4350,,1130
Micromax,,0.032,,1750,,47900
KARBONN,,0.032,,1450,,38990
KARBONN,,0.032,,1450,,38990
I,,0.064,,2500,,10990
Apple,,,,,,10990
OPPO,8,128,,4350,,1215
OPPO,8,128,,4350,,829
KARBONN,,0.032,32,1000,,1399
KARBONN,,0.032,,800,,18999
OPPO,2,32,256,4230,,1099
OPPO,2,32,256,4230,,24400
Redmi,3,32,512,5000,Qualcomm Snapdragon 439 Processor,2200
KARBONN,3,32,,3000,,10779
Kechaoda,,0.064,,2000,,24999
Redmi,4,64,512,5000,Qualcomm Snapdragon 439 Processor,1099
Snexian,,0.032,32,3000,,17999
Mi,6,128,,4820,Qualcomm® Snapdragon™ 750G Processor,24990
BlackZone,,0.064,32,3000,,13999
realme,6,64,256,4300,,21655
ViVO,8,128,1000,4100,Qualcomm Snapdragon 665 Processor,975
SAMSUNG,4,64,1000,5000,Mediatek Helio P35 (MT6765) Processor,20990
Jio,,4,,1500,,9999
Micromax,,0.032,,1750,,11499
REDMI,6,128,512,5020,Qualcomm Snapdragon 732G Processor,1499
SAMSUNG,4,64,512,6000, Exynos 9611-Octa Core processor Processor,25999
Itel,2,32,,4000,,9999
SAMSUNG,6,128,512,4000,Exynos 9611 Processor,1499
Redmi,4,64,512,5020,Qualcomm® Snapdragon™ 720G Processor,11499
OPPO,3,32,256,4230,,12990
I,,0.064,8,1000,,25999
SAMSUNG,6,128,512,4000,Exynos 9611 Processor,20990
Infinix,4,64,256,5000,MediaTek Helio P22 (64 bit) Processor,18999
REDMI,6,64,,5000,MediaTek Helio G95 Processor,7820
REDMI,6,128,,5000,MediaTek Helio G95 Processor,724
REDMI,8,128,,5000,MediaTek Helio G95 Processor,2499
REDMI,8,128,,5000,MediaTek Helio G95 Processor,1099
REDMI,8,128,,5000,MediaTek Helio G95 Processor,17999
OPPO,4,128,256,5000,,10999
GFive,,0.032,,1000,,679
Snexian,,0.032,32,1000,,899
Kechaoda,,0.032,,800,,1049
Nokia,,0.04,,1020,MediaTek Processor,949
Kechaoda,,0.032,,400,,25999
BlackZone,,0.064,32,2500,,129900
SAMSUNG,6,128,512,4000,Exynos 9611 Processor,9999
Mi,8,128,,4820,Qualcomm® Snapdragon™ 750G Processor,18999
APPLE,,,,,,869
realme,3,32,256,5000,MediaTek Helio G70 (12 nm) Processor,84900
GFive,,0.064,16,950,,769
realme,4,64,256,5000,Helio G70 Processor,7849
REDMI,6,128,512,5020,MediaTek Helio G85 Processor,19990
Intex,,0.01,,1050,,106600
realme,4,128,,3765,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,14299
APPLE,,,,,,1099
Kechaoda,,0.032,,800,,29999
Kechaoda,,0.032,,800,,19299
Kechaoda,,0.032,,800,,1682
Kechaoda,,0.032,,800,,679
Kechaoda,,0.032,,800,,24990
Easyfone,,0.032,32,700,,20990
Tork,,0.032,8,1000,,29999
SAMSUNG,6,128,1000,7000,Exynos 9825 Processor,999
Shomi,,0.032,,1750,,47900
REDMI,6,64,512,4500,MediaTek Helio G90T Processor,949
Apple,,,,,,14999
BlackZone,,0.064,32,2500,,1099
Infinix,4,64,256,5000,MediaTek Helio G70 Processor,1349
BlackZone,,0.032,32,3000,,1349
LAVA,,0.512,32,1750,,18999
Kechaoda,,0.032,,800,,10499
Kechaoda,,0.032,,800,,949
Itel,,0.032,,2500,,759
